task_id,model,dataset,label,official_auc,local_auc,delta_auc,abs_delta_auc,auc_tolerance,within_tolerance,official_log,local_log
0,OneTrans,TencentGR_10M_Action,is_click,0.832766,0.831705,-0.0010609999999999786,0.0010609999999999786,0.01,True,benchmark/TencentGR_10M_Action/OneTrans_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_OneTrans_TencentGR_10M_Action_baseline_seed20262027.log
0,OneTrans,TencentGR_10M_Action,is_conversion,0.88061,0.879542,-0.0010679999999999579,0.0010679999999999579,0.01,True,benchmark/TencentGR_10M_Action/OneTrans_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_OneTrans_TencentGR_10M_Action_baseline_seed20262027.log
2,HiFormer,TencentGR_10M_Action,is_click,0.830975,0.837502,0.0065269999999999495,0.0065269999999999495,0.01,True,benchmark/TencentGR_10M_Action/HiFormer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_HiFormer_TencentGR_10M_Action_baseline_seed20262027.log
2,HiFormer,TencentGR_10M_Action,is_conversion,0.872998,0.872968,-3.0000000000085514e-05,3.0000000000085514e-05,0.01,True,benchmark/TencentGR_10M_Action/HiFormer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_HiFormer_TencentGR_10M_Action_baseline_seed20262027.log
4,RankMixer,TencentGR_10M_Action,is_click,0.806942,0.815759,0.008816999999999964,0.008816999999999964,0.01,True,benchmark/TencentGR_10M_Action/RankMixer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_RankMixer_TencentGR_10M_Action_baseline_seed20262027.log
4,RankMixer,TencentGR_10M_Action,is_conversion,0.868324,0.873967,0.005643000000000065,0.005643000000000065,0.01,True,benchmark/TencentGR_10M_Action/RankMixer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_RankMixer_TencentGR_10M_Action_baseline_seed20262027.log
6,Zenith,TencentGR_10M_Action,is_click,0.823568,0.819024,-0.0045439999999999925,0.0045439999999999925,0.01,True,benchmark/TencentGR_10M_Action/Zenith_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_Zenith_TencentGR_10M_Action_baseline_seed20262027.log
6,Zenith,TencentGR_10M_Action,is_conversion,0.862737,0.859953,-0.0027840000000000087,0.0027840000000000087,0.01,True,benchmark/TencentGR_10M_Action/Zenith_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_Zenith_TencentGR_10M_Action_baseline_seed20262027.log
8,UniMixer,QK_Video_Action,click,0.932714,0.932792,7.799999999991147e-05,7.799999999991147e-05,0.01,True,benchmark/QK_Video_Action/UniMixer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_UniMixer_QK_Video_Action_baseline_seed20262027.log
8,UniMixer,QK_Video_Action,follow,0.902279,0.902402,0.00012299999999998423,0.00012299999999998423,0.01,True,benchmark/QK_Video_Action/UniMixer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_UniMixer_QK_Video_Action_baseline_seed20262027.log
8,UniMixer,QK_Video_Action,like,0.942814,0.942821,6.999999999979245e-06,6.999999999979245e-06,0.01,True,benchmark/QK_Video_Action/UniMixer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_UniMixer_QK_Video_Action_baseline_seed20262027.log
8,UniMixer,QK_Video_Action,share,0.923893,0.923398,-0.0004949999999999122,0.0004949999999999122,0.01,True,benchmark/QK_Video_Action/UniMixer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_UniMixer_QK_Video_Action_baseline_seed20262027.log
10,UniMixer,KuaiRand_Video_Action,is_click,0.793501,0.793239,-0.00026199999999998447,0.00026199999999998447,0.01,True,benchmark/KuaiRand_Video_Action/UniMixer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_UniMixer_KuaiRand_Video_Action_baseline_seed20262027.log
10,UniMixer,KuaiRand_Video_Action,is_comment,0.887024,0.886842,-0.00018200000000001548,0.00018200000000001548,0.01,True,benchmark/KuaiRand_Video_Action/UniMixer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_UniMixer_KuaiRand_Video_Action_baseline_seed20262027.log
10,UniMixer,KuaiRand_Video_Action,is_follow,0.86982,0.86952,-0.000300000000000078,0.000300000000000078,0.01,True,benchmark/KuaiRand_Video_Action/UniMixer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_UniMixer_KuaiRand_Video_Action_baseline_seed20262027.log
10,UniMixer,KuaiRand_Video_Action,is_forward,0.854061,0.856342,0.0022810000000000885,0.0022810000000000885,0.01,True,benchmark/KuaiRand_Video_Action/UniMixer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_UniMixer_KuaiRand_Video_Action_baseline_seed20262027.log
10,UniMixer,KuaiRand_Video_Action,is_like,0.925962,0.92544,-0.0005219999999999114,0.0005219999999999114,0.01,True,benchmark/KuaiRand_Video_Action/UniMixer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_UniMixer_KuaiRand_Video_Action_baseline_seed20262027.log
10,UniMixer,KuaiRand_Video_Action,long_view,0.811125,0.811239,0.0001140000000000585,0.0001140000000000585,0.01,True,benchmark/KuaiRand_Video_Action/UniMixer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_UniMixer_KuaiRand_Video_Action_baseline_seed20262027.log
12,UniMixer,TencentGR_10M_Action,is_click,0.808934,0.807036,-0.0018980000000000663,0.0018980000000000663,0.01,True,benchmark/TencentGR_10M_Action/UniMixer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_UniMixer_TencentGR_10M_Action_baseline_seed20262027.log
12,UniMixer,TencentGR_10M_Action,is_conversion,0.862599,0.856363,-0.006236000000000019,0.006236000000000019,0.01,True,benchmark/TencentGR_10M_Action/UniMixer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_UniMixer_TencentGR_10M_Action_baseline_seed20262027.log
14,UniMixer,Taobao_Action,buy,0.767605,0.762793,-0.0048119999999999274,0.0048119999999999274,0.01,True,benchmark/Taobao_Action/UniMixer_Taobao_Action.log,checkpoints/Taobao_Action/SISA_expansion_UniMixer_Taobao_Action_baseline_seed20262027.log
14,UniMixer,Taobao_Action,cart,0.760155,0.753612,-0.0065430000000000765,0.0065430000000000765,0.01,True,benchmark/Taobao_Action/UniMixer_Taobao_Action.log,checkpoints/Taobao_Action/SISA_expansion_UniMixer_Taobao_Action_baseline_seed20262027.log
14,UniMixer,Taobao_Action,fav,0.79572,0.793562,-0.0021579999999999933,0.0021579999999999933,0.01,True,benchmark/Taobao_Action/UniMixer_Taobao_Action.log,checkpoints/Taobao_Action/SISA_expansion_UniMixer_Taobao_Action_baseline_seed20262027.log
14,UniMixer,Taobao_Action,is_click,0.599892,0.600798,0.0009060000000000734,0.0009060000000000734,0.01,True,benchmark/Taobao_Action/UniMixer_Taobao_Action.log,checkpoints/Taobao_Action/SISA_expansion_UniMixer_Taobao_Action_baseline_seed20262027.log
16,UniMixer,MerRec_Action,Cart,0.811546,0.810231,-0.001314999999999955,0.001314999999999955,0.01,True,benchmark/MerRec_Action/UniMixer_MerRec_Action.log,checkpoints/MerRec_Action/SISA_expansion_UniMixer_MerRec_Action_baseline_seed20262027.log
16,UniMixer,MerRec_Action,Checkout,0.814125,0.820987,0.006862000000000035,0.006862000000000035,0.01,True,benchmark/MerRec_Action/UniMixer_MerRec_Action.log,checkpoints/MerRec_Action/SISA_expansion_UniMixer_MerRec_Action_baseline_seed20262027.log
16,UniMixer,MerRec_Action,Like,0.764977,0.765101,0.000124000000000013,0.000124000000000013,0.01,True,benchmark/MerRec_Action/UniMixer_MerRec_Action.log,checkpoints/MerRec_Action/SISA_expansion_UniMixer_MerRec_Action_baseline_seed20262027.log
16,UniMixer,MerRec_Action,Offer,0.732446,0.72964,-0.002806000000000086,0.002806000000000086,0.01,True,benchmark/MerRec_Action/UniMixer_MerRec_Action.log,checkpoints/MerRec_Action/SISA_expansion_UniMixer_MerRec_Action_baseline_seed20262027.log
16,UniMixer,MerRec_Action,Purchase,0.816254,0.822179,0.005924999999999958,0.005924999999999958,0.01,True,benchmark/MerRec_Action/UniMixer_MerRec_Action.log,checkpoints/MerRec_Action/SISA_expansion_UniMixer_MerRec_Action_baseline_seed20262027.log
18,HyFormer,QK_Video_Action,click,0.933026,0.933053,2.6999999999999247e-05,2.6999999999999247e-05,0.01,True,benchmark/QK_Video_Action/HyFormer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_HyFormer_QK_Video_Action_baseline_seed20262027.log
18,HyFormer,QK_Video_Action,follow,0.911015,0.91174,0.0007249999999999757,0.0007249999999999757,0.01,True,benchmark/QK_Video_Action/HyFormer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_HyFormer_QK_Video_Action_baseline_seed20262027.log
18,HyFormer,QK_Video_Action,like,0.946357,0.946457,9.999999999998899e-05,9.999999999998899e-05,0.01,True,benchmark/QK_Video_Action/HyFormer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_HyFormer_QK_Video_Action_baseline_seed20262027.log
18,HyFormer,QK_Video_Action,share,0.930454,0.92972,-0.0007340000000000124,0.0007340000000000124,0.01,True,benchmark/QK_Video_Action/HyFormer_QK_Video_Action.log,checkpoints/QK_Video_Action/SISA_expansion_HyFormer_QK_Video_Action_baseline_seed20262027.log
20,HyFormer,KuaiRand_Video_Action,is_click,0.781654,0.782927,0.0012730000000000796,0.0012730000000000796,0.01,True,benchmark/KuaiRand_Video_Action/HyFormer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_HyFormer_KuaiRand_Video_Action_baseline_seed20262027.log
20,HyFormer,KuaiRand_Video_Action,is_comment,0.885349,0.889771,0.004421999999999926,0.004421999999999926,0.01,True,benchmark/KuaiRand_Video_Action/HyFormer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_HyFormer_KuaiRand_Video_Action_baseline_seed20262027.log
20,HyFormer,KuaiRand_Video_Action,is_follow,0.879996,0.879855,-0.00014099999999994672,0.00014099999999994672,0.01,True,benchmark/KuaiRand_Video_Action/HyFormer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_HyFormer_KuaiRand_Video_Action_baseline_seed20262027.log
20,HyFormer,KuaiRand_Video_Action,is_forward,0.869058,0.86964,0.0005819999999999714,0.0005819999999999714,0.01,True,benchmark/KuaiRand_Video_Action/HyFormer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_HyFormer_KuaiRand_Video_Action_baseline_seed20262027.log
20,HyFormer,KuaiRand_Video_Action,is_like,0.921538,0.922436,0.0008980000000000654,0.0008980000000000654,0.01,True,benchmark/KuaiRand_Video_Action/HyFormer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_HyFormer_KuaiRand_Video_Action_baseline_seed20262027.log
20,HyFormer,KuaiRand_Video_Action,long_view,0.798435,0.798512,7.699999999999374e-05,7.699999999999374e-05,0.01,True,benchmark/KuaiRand_Video_Action/HyFormer_KuaiRand_Video_Action.log,checkpoints/KuaiRand_Video_Action/SISA_expansion_HyFormer_KuaiRand_Video_Action_baseline_seed20262027.log
22,HyFormer,TencentGR_10M_Action,is_click,0.826725,0.825794,-0.0009310000000000151,0.0009310000000000151,0.01,True,benchmark/TencentGR_10M_Action/HyFormer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_HyFormer_TencentGR_10M_Action_baseline_seed20262027.log
22,HyFormer,TencentGR_10M_Action,is_conversion,0.875804,0.87668,0.0008759999999999879,0.0008759999999999879,0.01,True,benchmark/TencentGR_10M_Action/HyFormer_TencentGR_10M_Action.log,checkpoints/TencentGR_10M_Action/SISA_expansion_HyFormer_TencentGR_10M_Action_baseline_seed20262027.log
24,HyFormer,Taobao_Action,buy,0.748458,0.749831,0.0013730000000000686,0.0013730000000000686,0.01,True,benchmark/Taobao_Action/HyFormer_Taobao_Action.log,checkpoints/Taobao_Action/SISA_expansion_HyFormer_Taobao_Action_baseline_seed20262027.log
24,HyFormer,Taobao_Action,cart,0.748359,0.748985,0.0006260000000000154,0.0006260000000000154,0.01,True,benchmark/Taobao_Action/HyFormer_Taobao_Action.log,checkpoints/Taobao_Action/SISA_expansion_HyFormer_Taobao_Action_baseline_seed20262027.log
