task_id,model,dataset,setting,gpu_name,label,logloss,AUC
0,OneTrans,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.049415,0.831705
0,OneTrans,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_conversion,0.017811,0.879542
1,OneTrans,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.048848,0.83895
1,OneTrans,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_conversion,0.017955,0.882543
2,HiFormer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.047367,0.837502
2,HiFormer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_conversion,0.01701,0.872968
3,HiFormer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.040661,0.846706
3,HiFormer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_conversion,0.015246,0.886886
4,RankMixer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.061211,0.815759
4,RankMixer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_conversion,0.023279,0.873967
5,RankMixer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.05899,0.827592
5,RankMixer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_conversion,0.022015,0.882659
6,Zenith,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.059201,0.819024
6,Zenith,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_conversion,0.020371,0.859953
7,Zenith,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.054814,0.831846
7,Zenith,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_conversion,0.018845,0.866268
8,UniMixer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,click,0.253112,0.932792
8,UniMixer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,follow,0.0052,0.902402
8,UniMixer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,like,0.037327,0.942821
8,UniMixer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,share,0.005532,0.923398
9,UniMixer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,click,0.253566,0.932527
9,UniMixer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,follow,0.005195,0.902319
9,UniMixer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,like,0.037213,0.9425
9,UniMixer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,share,0.005491,0.924461
10,UniMixer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.525484,0.793239
10,UniMixer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_follow,0.006429,0.86952
10,UniMixer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_like,0.054408,0.92544
10,UniMixer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_comment,0.015046,0.886842
10,UniMixer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_forward,0.005799,0.856342
10,UniMixer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,long_view,0.44196,0.811239
11,UniMixer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.525579,0.793151
11,UniMixer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_follow,0.006479,0.869907
11,UniMixer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_like,0.054245,0.925785
11,UniMixer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_comment,0.015036,0.887145
11,UniMixer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_forward,0.005843,0.854777
11,UniMixer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,long_view,0.442367,0.810874
12,UniMixer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.06837,0.807036
12,UniMixer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_conversion,0.024905,0.856363
13,UniMixer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.067641,0.80614
13,UniMixer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_conversion,0.025227,0.854206
14,UniMixer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.189159,0.600798
14,UniMixer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,cart,0.019369,0.753612
14,UniMixer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,fav,0.01461,0.793562
14,UniMixer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,buy,0.00694,0.762793
15,UniMixer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.189071,0.599495
15,UniMixer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,cart,0.019259,0.758103
15,UniMixer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,fav,0.014538,0.793872
15,UniMixer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,buy,0.006971,0.761336
16,UniMixer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Like,0.319689,0.765101
16,UniMixer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Cart,0.052406,0.810231
16,UniMixer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Offer,0.022436,0.72964
16,UniMixer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Checkout,0.006842,0.820987
16,UniMixer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Purchase,0.004379,0.822179
17,UniMixer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Like,0.319878,0.764578
17,UniMixer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Cart,0.052429,0.810036
17,UniMixer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Offer,0.022399,0.730094
17,UniMixer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Checkout,0.006961,0.820102
17,UniMixer,MerRec_Action,sisa,NVIDIA H100 80GB HBM3,Purchase,0.004544,0.821342
18,HyFormer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,click,0.252904,0.933053
18,HyFormer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,follow,0.005132,0.91174
18,HyFormer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,like,0.036969,0.946457
18,HyFormer,QK_Video_Action,baseline,NVIDIA H100 80GB HBM3,share,0.005374,0.92972
19,HyFormer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,click,0.250224,0.934587
19,HyFormer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,follow,0.005131,0.911898
19,HyFormer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,like,0.036658,0.947302
19,HyFormer,QK_Video_Action,sisa,NVIDIA H100 80GB HBM3,share,0.005327,0.931195
20,HyFormer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.540743,0.782927
20,HyFormer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_follow,0.006594,0.879855
20,HyFormer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_like,0.055706,0.922436
20,HyFormer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_comment,0.015035,0.889771
20,HyFormer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,is_forward,0.005816,0.86964
20,HyFormer,KuaiRand_Video_Action,baseline,NVIDIA H100 80GB HBM3,long_view,0.454605,0.798512
21,HyFormer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.525387,0.795817
21,HyFormer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_follow,0.006261,0.886716
21,HyFormer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_like,0.054406,0.925135
21,HyFormer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_comment,0.014859,0.891853
21,HyFormer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,is_forward,0.005598,0.872832
21,HyFormer,KuaiRand_Video_Action,sisa,NVIDIA H100 80GB HBM3,long_view,0.44358,0.810788
22,HyFormer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.051701,0.825794
22,HyFormer,TencentGR_10M_Action,baseline,NVIDIA H100 80GB HBM3,is_conversion,0.018252,0.87668
23,HyFormer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.049836,0.838596
23,HyFormer,TencentGR_10M_Action,sisa,NVIDIA H100 80GB HBM3,is_conversion,0.016894,0.886346
24,HyFormer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,is_click,0.188705,0.612362
24,HyFormer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,cart,0.019846,0.748985
24,HyFormer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,fav,0.015053,0.778926
24,HyFormer,Taobao_Action,baseline,NVIDIA H100 80GB HBM3,buy,0.006997,0.749831
25,HyFormer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,is_click,0.188533,0.612538
25,HyFormer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,cart,0.020222,0.722734
25,HyFormer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,fav,0.015204,0.763074
25,HyFormer,Taobao_Action,sisa,NVIDIA H100 80GB HBM3,buy,0.007093,0.730384
26,HyFormer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Like,0.334592,0.73532
26,HyFormer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Cart,0.053872,0.798071
26,HyFormer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Offer,0.021683,0.739902
26,HyFormer,MerRec_Action,baseline,NVIDIA H100 80GB HBM3,Checkout,0.00552,0.848886
