model,dataset,label,baseline_auc,sisa_auc,delta_auc,baseline_logloss,sisa_logloss,delta_logloss
OneTrans,TencentGR_10M_Action,is_click,0.831705,0.83895,0.007244999999999946,0.049415,0.048848,-0.0005669999999999981
OneTrans,TencentGR_10M_Action,is_conversion,0.879542,0.882543,0.0030009999999999204,0.017811,0.017955,0.0001439999999999983
HiFormer,TencentGR_10M_Action,is_click,0.837502,0.846706,0.00920399999999999,0.047367,0.040661,-0.006705999999999997
HiFormer,TencentGR_10M_Action,is_conversion,0.872968,0.886886,0.013917999999999986,0.01701,0.015246,-0.0017640000000000017
RankMixer,TencentGR_10M_Action,is_click,0.815759,0.827592,0.011832999999999982,0.061211,0.05899,-0.0022210000000000008
RankMixer,TencentGR_10M_Action,is_conversion,0.873967,0.882659,0.008691999999999922,0.023279,0.022015,-0.0012640000000000012
Zenith,TencentGR_10M_Action,is_click,0.819024,0.831846,0.012822,0.059201,0.054814,-0.004386999999999995
Zenith,TencentGR_10M_Action,is_conversion,0.859953,0.866268,0.0063150000000000706,0.020371,0.018845,-0.0015259999999999996
UniMixer,QK_Video_Action,click,0.932792,0.932527,-0.0002649999999999597,0.253112,0.253566,0.00045400000000000995
UniMixer,QK_Video_Action,follow,0.902402,0.902319,-8.300000000005525e-05,0.0052,0.005195,-4.999999999999796e-06
UniMixer,QK_Video_Action,like,0.942821,0.9425,-0.0003210000000000157,0.037327,0.037213,-0.00011399999999999605
UniMixer,QK_Video_Action,share,0.923398,0.924461,0.0010629999999999251,0.005532,0.005491,-4.099999999999937e-05
UniMixer,KuaiRand_Video_Action,is_click,0.793239,0.793151,-8.799999999997699e-05,0.525484,0.525579,9.500000000006725e-05
UniMixer,KuaiRand_Video_Action,is_comment,0.886842,0.887145,0.0003029999999999422,0.015046,0.015036,-9.999999999999593e-06
UniMixer,KuaiRand_Video_Action,is_follow,0.86952,0.869907,0.0003870000000000262,0.006429,0.006479,5.0000000000000565e-05
UniMixer,KuaiRand_Video_Action,is_forward,0.856342,0.854777,-0.0015650000000000386,0.005799,0.005843,4.399999999999977e-05
UniMixer,KuaiRand_Video_Action,is_like,0.92544,0.925785,0.0003449999999999287,0.054408,0.054245,-0.00016299999999999648
