task_id,model,dataset,setting,array_job,job_task_id,state,exit_code,state_source,gpu_count,gpu_name,host,protocol_valid,completion_marker,finite_metrics,error_count,complete,slurm_log,checkpoint_log,metrics_json
0,OneTrans,TencentGR_10M_Action,baseline,543887,543887_0,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-22,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543887_0.out,checkpoints/TencentGR_10M_Action/SISA_expansion_OneTrans_TencentGR_10M_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.831705, ""logloss"": 0.049415}, ""is_conversion"": {""AUC"": 0.879542, ""logloss"": 0.017811}}"
1,OneTrans,TencentGR_10M_Action,sisa,543257,543257_1,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-1,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_1.out,checkpoints/TencentGR_10M_Action/SISA_expansion_OneTrans_TencentGR_10M_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.83895, ""logloss"": 0.048848}, ""is_conversion"": {""AUC"": 0.882543, ""logloss"": 0.017955}}"
2,HiFormer,TencentGR_10M_Action,baseline,543257,543257_2,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-17,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_2.out,checkpoints/TencentGR_10M_Action/SISA_expansion_HiFormer_TencentGR_10M_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.837502, ""logloss"": 0.047367}, ""is_conversion"": {""AUC"": 0.872968, ""logloss"": 0.01701}}"
3,HiFormer,TencentGR_10M_Action,sisa,543257,543257_3,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-50,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_3.out,checkpoints/TencentGR_10M_Action/SISA_expansion_HiFormer_TencentGR_10M_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.846706, ""logloss"": 0.040661}, ""is_conversion"": {""AUC"": 0.886886, ""logloss"": 0.015246}}"
4,RankMixer,TencentGR_10M_Action,baseline,543257,543257_4,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-33,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_4.out,checkpoints/TencentGR_10M_Action/SISA_expansion_RankMixer_TencentGR_10M_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.815759, ""logloss"": 0.061211}, ""is_conversion"": {""AUC"": 0.873967, ""logloss"": 0.023279}}"
5,RankMixer,TencentGR_10M_Action,sisa,543257,543257_5,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-17,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_5.out,checkpoints/TencentGR_10M_Action/SISA_expansion_RankMixer_TencentGR_10M_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.827592, ""logloss"": 0.05899}, ""is_conversion"": {""AUC"": 0.882659, ""logloss"": 0.022015}}"
6,Zenith,TencentGR_10M_Action,baseline,543257,543257_6,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-1,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_6.out,checkpoints/TencentGR_10M_Action/SISA_expansion_Zenith_TencentGR_10M_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.819024, ""logloss"": 0.059201}, ""is_conversion"": {""AUC"": 0.859953, ""logloss"": 0.020371}}"
7,Zenith,TencentGR_10M_Action,sisa,543257,543257_7,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-22,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_7.out,checkpoints/TencentGR_10M_Action/SISA_expansion_Zenith_TencentGR_10M_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.831846, ""logloss"": 0.054814}, ""is_conversion"": {""AUC"": 0.866268, ""logloss"": 0.018845}}"
8,UniMixer,QK_Video_Action,baseline,543255,543255_8,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-2,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543255_8.out,checkpoints/QK_Video_Action/SISA_expansion_UniMixer_QK_Video_Action_baseline_seed20262027.log,"{""click"": {""AUC"": 0.932792, ""logloss"": 0.253112}, ""follow"": {""AUC"": 0.902402, ""logloss"": 0.0052}, ""like"": {""AUC"": 0.942821, ""logloss"": 0.037327}, ""share"": {""AUC"": 0.923398, ""logloss"": 0.005532}}"
9,UniMixer,QK_Video_Action,sisa,543257,543257_9,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-31,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_9.out,checkpoints/QK_Video_Action/SISA_expansion_UniMixer_QK_Video_Action_sisa_seed20262027.log,"{""click"": {""AUC"": 0.932527, ""logloss"": 0.253566}, ""follow"": {""AUC"": 0.902319, ""logloss"": 0.005195}, ""like"": {""AUC"": 0.9425, ""logloss"": 0.037213}, ""share"": {""AUC"": 0.924461, ""logloss"": 0.005491}}"
10,UniMixer,KuaiRand_Video_Action,baseline,543257,543257_10,COMPLETED,0:0,sacct,4,NVIDIA H100 80GB HBM3,ACD1-31,True,True,True,0,True,logs/unirank-sisa-expansion-acd-543257_10.out,checkpoints/KuaiRand_Video_Action/SISA_expansion_UniMixer_KuaiRand_Video_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.793239, ""logloss"": 0.525484}, ""is_comment"": {""AUC"": 0.886842, ""logloss"": 0.015046}, ""is_follow"": {""AUC"": 0.86952, ""logloss"": 0.006429}, ""is_forward"": {""AUC"": 0.856342, ""logloss"": 0.005799}, ""is_like"": {""AUC"": 0.92544, ""logloss"": 0.054408}, ""long_view"": {""AUC"": 0.811239, ""logloss"": 0.44196}}"
