model,dataset,labels,mean_delta_auc,auc_improved,mean_delta_logloss,logloss_improved,mean_abs_baseline_delta,max_abs_baseline_delta
UltraHSTU,MerRec_Action,5,0.012726,5/5,-0.002483,5/5,0.005900,0.007656
HyFormer,MerRec_Action,5,0.012394,5/5,-0.002619,3/5,0.001000,0.002550
HiFormer,TencentGR_10M_Action,2,0.011561,2/2,-0.004235,2/2,0.003279,0.006527
HyFormer,TencentGR_10M_Action,2,0.011234,2/2,-0.001612,2/2,0.000904,0.000931
UltraHSTU,KuaiRand_Video_Action,6,0.011203,6/6,-0.014779,6/6,0.003451,0.009366
RankMixer,TencentGR_10M_Action,2,0.010262,2/2,-0.001743,2/2,0.007230,0.008817
Zenith,TencentGR_10M_Action,2,0.009569,2/2,-0.002956,2/2,0.003664,0.004544
HyFormer,KuaiRand_Video_Action,6,0.006667,6/6,-0.004735,6/6,0.001232,0.004422
OneTrans,TencentGR_10M_Action,2,0.005123,2/2,-0.000211,1/2,0.001064,0.001068
UltraHSTU,Taobao_Action,4,0.002648,4/4,0.000090,1/4,0.001151,0.001573
HyFormer,QK_Video_Action,4,0.001003,4/4,-0.000760,4/4,0.000396,0.000734
UniMixer,Taobao_Action,4,0.000510,2/4,-0.000060,3/4,0.003605,0.006543
UniMixer,QK_Video_Action,4,0.000098,1/4,0.000074,3/4,0.000176,0.000495
UniMixer,KuaiRand_Video_Action,6,-0.000164,3/6,0.000071,2/6,0.000610,0.002281
UniMixer,MerRec_Action,5,-0.000397,1/5,0.000092,1/5,0.003406,0.006862
UltraHSTU,QK_Video_Action,4,-0.001167,0/4,0.000151,0/4,0.000132,0.000286
UniMixer,TencentGR_10M_Action,2,-0.001526,0/2,-0.000203,1/2,0.004067,0.006236
UltraHSTU,TencentGR_10M_Action,2,-0.001676,0/2,0.000326,0/2,0.001519,0.001973
HyFormer,Taobao_Action,4,-0.015343,1/4,0.000113,1/4,0.001350,0.001710
