task_id,model,dataset,setting,gpu_type,job_task_id,label,logloss,AUC
0,OneTrans,QK_Video_Action,baseline,rtx4090,14810_0,click,0.248535,0.935674
0,OneTrans,QK_Video_Action,baseline,rtx4090,14810_0,follow,0.005088,0.917042
0,OneTrans,QK_Video_Action,baseline,rtx4090,14810_0,like,0.036389,0.948348
0,OneTrans,QK_Video_Action,baseline,rtx4090,14810_0,share,0.005297,0.933407
1,OneTrans,QK_Video_Action,sisa,rtx4090,14810_1,click,0.247955,0.935902
1,OneTrans,QK_Video_Action,sisa,rtx4090,14810_1,follow,0.005097,0.918218
1,OneTrans,QK_Video_Action,sisa,rtx4090,14810_1,like,0.036164,0.948861
1,OneTrans,QK_Video_Action,sisa,rtx4090,14810_1,share,0.00532,0.933237
2,OneTrans,KuaiRand_Video_Action,baseline,l40s,14811_2,is_click,0.566734,0.772234
2,OneTrans,KuaiRand_Video_Action,baseline,l40s,14811_2,is_follow,0.006201,0.88308
2,OneTrans,KuaiRand_Video_Action,baseline,l40s,14811_2,is_like,0.055033,0.923693
2,OneTrans,KuaiRand_Video_Action,baseline,l40s,14811_2,is_comment,0.01477,0.896976
2,OneTrans,KuaiRand_Video_Action,baseline,l40s,14811_2,is_forward,0.005742,0.872306
2,OneTrans,KuaiRand_Video_Action,baseline,l40s,14811_2,long_view,0.469541,0.795764
3,OneTrans,KuaiRand_Video_Action,sisa,l40s,14811_3,is_click,0.538148,0.791105
3,OneTrans,KuaiRand_Video_Action,sisa,l40s,14811_3,is_follow,0.006128,0.88643
3,OneTrans,KuaiRand_Video_Action,sisa,l40s,14811_3,is_like,0.053581,0.928058
3,OneTrans,KuaiRand_Video_Action,sisa,l40s,14811_3,is_comment,0.014797,0.896294
3,OneTrans,KuaiRand_Video_Action,sisa,l40s,14811_3,is_forward,0.005611,0.877678
3,OneTrans,KuaiRand_Video_Action,sisa,l40s,14811_3,long_view,0.44734,0.810629
4,OneTrans,Taobao_Action,baseline,rtx4090,14806_4,is_click,0.18751,0.629803
4,OneTrans,Taobao_Action,baseline,rtx4090,14806_4,cart,0.020009,0.742172
4,OneTrans,Taobao_Action,baseline,rtx4090,14806_4,fav,0.014892,0.780022
4,OneTrans,Taobao_Action,baseline,rtx4090,14806_4,buy,0.007003,0.76793
5,OneTrans,Taobao_Action,sisa,rtx4090,14810_5,is_click,0.187945,0.633518
5,OneTrans,Taobao_Action,sisa,rtx4090,14810_5,cart,0.01992,0.741239
5,OneTrans,Taobao_Action,sisa,rtx4090,14810_5,fav,0.015006,0.776298
5,OneTrans,Taobao_Action,sisa,rtx4090,14810_5,buy,0.00705,0.753688
6,OneTrans,MerRec_Action,baseline,l40s,14811_6,Like,0.325279,0.755615
6,OneTrans,MerRec_Action,baseline,l40s,14811_6,Cart,0.05446,0.789147
6,OneTrans,MerRec_Action,baseline,l40s,14811_6,Offer,0.021467,0.764039
6,OneTrans,MerRec_Action,baseline,l40s,14811_6,Checkout,0.006042,0.86632
6,OneTrans,MerRec_Action,baseline,l40s,14811_6,Purchase,0.003837,0.868531
7,OneTrans,MerRec_Action,sisa,l40s,14811_7,Like,0.319739,0.765848
7,OneTrans,MerRec_Action,sisa,l40s,14811_7,Cart,0.051998,0.820006
