task_id,model,dataset,setting,gpu_type,job_task_id,state,exit_code,status_evidence,protocol_valid,completion_marker,finite_metrics,error_count,complete,slurm_log,checkpoint_log,metrics_json
0,OneTrans,QK_Video_Action,baseline,rtx4090,14810_0,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_0.out,checkpoints/QK_Video_Action/SISA_strict_OneTrans_QK_Video_Action_baseline_seed20262027.log,"{""click"": {""AUC"": 0.935674, ""logloss"": 0.248535}, ""follow"": {""AUC"": 0.917042, ""logloss"": 0.005088}, ""like"": {""AUC"": 0.948348, ""logloss"": 0.036389}, ""share"": {""AUC"": 0.933407, ""logloss"": 0.005297}}"
1,OneTrans,QK_Video_Action,sisa,rtx4090,14810_1,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_1.out,checkpoints/QK_Video_Action/SISA_strict_OneTrans_QK_Video_Action_sisa_seed20262027.log,"{""click"": {""AUC"": 0.935902, ""logloss"": 0.247955}, ""follow"": {""AUC"": 0.918218, ""logloss"": 0.005097}, ""like"": {""AUC"": 0.948861, ""logloss"": 0.036164}, ""share"": {""AUC"": 0.933237, ""logloss"": 0.00532}}"
2,OneTrans,KuaiRand_Video_Action,baseline,l40s,14811_2,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_2.out,checkpoints/KuaiRand_Video_Action/SISA_strict_OneTrans_KuaiRand_Video_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.772234, ""logloss"": 0.566734}, ""is_comment"": {""AUC"": 0.896976, ""logloss"": 0.01477}, ""is_follow"": {""AUC"": 0.88308, ""logloss"": 0.006201}, ""is_forward"": {""AUC"": 0.872306, ""logloss"": 0.005742}, ""is_like"": {""AUC"": 0.923693, ""logloss"": 0.055033}, ""long_view"": {""AUC"": 0.795764, ""logloss"": 0.469541}}"
3,OneTrans,KuaiRand_Video_Action,sisa,l40s,14811_3,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_3.out,checkpoints/KuaiRand_Video_Action/SISA_strict_OneTrans_KuaiRand_Video_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.791105, ""logloss"": 0.538148}, ""is_comment"": {""AUC"": 0.896294, ""logloss"": 0.014797}, ""is_follow"": {""AUC"": 0.88643, ""logloss"": 0.006128}, ""is_forward"": {""AUC"": 0.877678, ""logloss"": 0.005611}, ""is_like"": {""AUC"": 0.928058, ""logloss"": 0.053581}, ""long_view"": {""AUC"": 0.810629, ""logloss"": 0.44734}}"
4,OneTrans,Taobao_Action,baseline,rtx4090,14806_4,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14806_4.out,checkpoints/Taobao_Action/SISA_strict_OneTrans_Taobao_Action_baseline_seed20262027.log,"{""buy"": {""AUC"": 0.76793, ""logloss"": 0.007003}, ""cart"": {""AUC"": 0.742172, ""logloss"": 0.020009}, ""fav"": {""AUC"": 0.780022, ""logloss"": 0.014892}, ""is_click"": {""AUC"": 0.629803, ""logloss"": 0.18751}}"
5,OneTrans,Taobao_Action,sisa,rtx4090,14810_5,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_5.out,checkpoints/Taobao_Action/SISA_strict_OneTrans_Taobao_Action_sisa_seed20262027.log,"{""buy"": {""AUC"": 0.753688, ""logloss"": 0.00705}, ""cart"": {""AUC"": 0.741239, ""logloss"": 0.01992}, ""fav"": {""AUC"": 0.776298, ""logloss"": 0.015006}, ""is_click"": {""AUC"": 0.633518, ""logloss"": 0.187945}}"
6,OneTrans,MerRec_Action,baseline,l40s,14811_6,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_6.out,checkpoints/MerRec_Action/SISA_strict_OneTrans_MerRec_Action_baseline_seed20262027.log,"{""Cart"": {""AUC"": 0.789147, ""logloss"": 0.05446}, ""Checkout"": {""AUC"": 0.86632, ""logloss"": 0.006042}, ""Like"": {""AUC"": 0.755615, ""logloss"": 0.325279}, ""Offer"": {""AUC"": 0.764039, ""logloss"": 0.021467}, ""Purchase"": {""AUC"": 0.868531, ""logloss"": 0.003837}}"
7,OneTrans,MerRec_Action,sisa,l40s,14811_7,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_7.out,checkpoints/MerRec_Action/SISA_strict_OneTrans_MerRec_Action_sisa_seed20262027.log,"{""Cart"": {""AUC"": 0.820006, ""logloss"": 0.051998}, ""Checkout"": {""AUC"": 0.872093, ""logloss"": 0.005122}, ""Like"": {""AUC"": 0.765848, ""logloss"": 0.319739}, ""Offer"": {""AUC"": 0.75772, ""logloss"": 0.02119}, ""Purchase"": {""AUC"": 0.873708, ""logloss"": 0.003222}}"
8,HiFormer,QK_Video_Action,baseline,l40s,14811_8,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_8.out,checkpoints/QK_Video_Action/SISA_strict_HiFormer_QK_Video_Action_baseline_seed20262027.log,"{""click"": {""AUC"": 0.932306, ""logloss"": 0.253972}, ""follow"": {""AUC"": 0.919914, ""logloss"": 0.004997}, ""like"": {""AUC"": 0.946691, ""logloss"": 0.037272}, ""share"": {""AUC"": 0.933742, ""logloss"": 0.005301}}"
9,HiFormer,QK_Video_Action,sisa,l40s,14811_9,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_9.out,checkpoints/QK_Video_Action/SISA_strict_HiFormer_QK_Video_Action_sisa_seed20262027.log,"{""click"": {""AUC"": 0.932526, ""logloss"": 0.25365}, ""follow"": {""AUC"": 0.913924, ""logloss"": 0.005111}, ""like"": {""AUC"": 0.945462, ""logloss"": 0.037298}, ""share"": {""AUC"": 0.93234, ""logloss"": 0.005366}}"
