dataset,label,previous_best_model,previous_best_auc,new_best_model,new_best_auc,same_best_model
KuaiRand_Video_Action,is_click,HiFormer,0.797238,HiFormer,0.795981,True
KuaiRand_Video_Action,is_comment,Zenith,0.901214,HiFormer,0.898652,False
KuaiRand_Video_Action,is_follow,Zenith,0.890208,HiFormer,0.88538,False
KuaiRand_Video_Action,is_forward,Zenith,0.873619,Zenith,0.869064,True
KuaiRand_Video_Action,is_like,Zenith,0.930466,HiFormer,0.929336,False
KuaiRand_Video_Action,long_view,RankMixer,0.81142,RankMixer,0.812814,True
MerRec_Action,Cart,Zenith,0.814763,HiFormer,0.818659,False
MerRec_Action,Checkout,HyFormer,0.856995,HyFormer,0.855579,True
MerRec_Action,Like,HiFormer,0.764396,HiFormer,0.765716,True
MerRec_Action,Offer,Zenith,0.766747,Zenith,0.775302,True
MerRec_Action,Purchase,HyFormer,0.855258,HyFormer,0.856109,True
QK_Video_Action,click,Zenith,0.93471,Zenith,0.934288,True
QK_Video_Action,follow,Zenith,0.923107,Zenith,0.922992,True
QK_Video_Action,like,Zenith,0.948299,Zenith,0.94831,True
QK_Video_Action,share,Zenith,0.936504,Zenith,0.935292,True
TencentGR_10M_Action,is_click,HiFormer,0.846706,HyFormer,0.85179,False
TencentGR_10M_Action,is_conversion,HiFormer,0.886886,HyFormer,0.897097,False
