model,dataset,labels,mean_delta_auc,median_delta_auc,mean_abs_delta_auc,auc_improved,auc_declined,mean_delta_logloss,logloss_improved,logloss_worsened,joint_improved,previous_source
HiFormer,QK_Video_Action,4,-0.00017174999999997054,-0.00017299999999997873,0.0006187500000000012,1,3,0.0004890000000000105,0,4,0,sisa_native_strict
HiFormer,KuaiRand_Video_Action,6,0.0025051666666666694,0.003454999999999986,0.0030964999999999834,4,2,-0.0018236666666666854,3,3,3,sisa_native_strict
HiFormer,TencentGR_10M_Action,2,0.0040620000000000656,0.0040620000000000656,0.0040620000000000656,2,0,0.002341499999999998,0,2,0,sisa_expansion_acd
HiFormer,MerRec_Action,5,0.0069860000000000035,0.006800000000000028,0.0069860000000000035,5,0,-0.000869800000000003,4,1,4,sisa_native_strict
HyFormer,QK_Video_Action,4,6.250000000002087e-05,-0.00039949999999994157,0.0007939999999999614,1,3,0.00037250000000000087,1,3,1,sisa_expansion_acd
HyFormer,KuaiRand_Video_Action,6,-0.0019160000000000104,-0.002088999999999952,0.002404333333333323,2,4,0.0021751666666666564,0,6,0,sisa_expansion_acd
HyFormer,TencentGR_10M_Action,2,0.011972500000000053,0.011972500000000053,0.011972500000000053,2,0,-0.0008584999999999982,1,1,1,sisa_expansion_acd
HyFormer,MerRec_Action,5,-0.005258399999999952,-0.003645999999999927,0.005598799999999971,1,4,0.0014405999999999998,3,2,1,sisa_expansion_acd
RankMixer,QK_Video_Action,4,-0.0010232500000000033,-0.0014259999999999828,0.0015712499999999963,1,3,0.0008177500000000086,0,4,0,sisa_native_strict
RankMixer,KuaiRand_Video_Action,6,0.0005283333333333343,5.7499999999988116e-05,0.0021873333333333376,3,3,-0.00019716666666666914,2,4,2,sisa_native_strict
RankMixer,TencentGR_10M_Action,2,-0.007284000000000013,-0.007284000000000013,0.007284000000000013,0,2,0.006394499999999999,0,2,0,sisa_expansion_acd
RankMixer,MerRec_Action,5,0.006107600000000013,0.00345899999999999,0.006107600000000013,5,0,0.0002037999999999972,4,1,4,sisa_native_strict
Zenith,QK_Video_Action,4,-0.00043450000000000433,-0.00026850000000000485,0.00043999999999999595,1,3,0.0001162500000000009,2,2,1,sisa_native_strict
Zenith,KuaiRand_Video_Action,6,-0.00522949999999998,-0.004809499999999967,0.00522949999999998,0,6,0.0039036666666666595,1,5,0,sisa_native_strict
Zenith,TencentGR_10M_Action,2,0.01469349999999997,0.01469349999999997,0.01469349999999997,2,0,0.0011589999999999986,0,2,0,sisa_expansion_acd
Zenith,MerRec_Action,5,0.00030520000000004986,-0.0009089999999999376,0.003843599999999969,2,3,0.0003511999999999958,2,3,2,sisa_native_strict
