dataset,label,previous_best_model,previous_best_auc,new_best_model,new_best_auc,same_best_model
KuaiRand_Video_Action,is_click,HiFormer,0.795981,RankMixer,0.796813,False
KuaiRand_Video_Action,is_comment,HiFormer,0.898652,HiFormer,0.896727,True
KuaiRand_Video_Action,is_follow,HiFormer,0.88538,Zenith,0.889686,False
KuaiRand_Video_Action,is_forward,Zenith,0.869064,Zenith,0.873658,True
KuaiRand_Video_Action,is_like,HiFormer,0.929336,RankMixer,0.928654,False
KuaiRand_Video_Action,long_view,RankMixer,0.812814,RankMixer,0.814307,True
MerRec_Action,Cart,HiFormer,0.818659,HiFormer,0.820005,True
MerRec_Action,Checkout,HyFormer,0.855579,HyFormer,0.853285,True
MerRec_Action,Like,HiFormer,0.765716,RankMixer,0.763228,False
MerRec_Action,Offer,Zenith,0.775302,HiFormer,0.773916,False
MerRec_Action,Purchase,HyFormer,0.856109,HyFormer,0.856738,True
QK_Video_Action,click,Zenith,0.934288,Zenith,0.93453,True
QK_Video_Action,follow,Zenith,0.922992,Zenith,0.921674,True
QK_Video_Action,like,Zenith,0.94831,Zenith,0.947288,True
QK_Video_Action,share,Zenith,0.935292,Zenith,0.936623,True
TencentGR_10M_Action,is_click,HyFormer,0.85179,HiFormer,0.850097,False
TencentGR_10M_Action,is_conversion,HyFormer,0.897097,HiFormer,0.889723,False
