model,dataset,labels,mean_delta_auc,median_delta_auc,mean_abs_delta_auc,auc_improved,auc_declined,mean_delta_logloss,logloss_improved,logloss_worsened,joint_improved,previous_source
HiFormer,QK_Video_Action,4,-0.0002807499999999963,-0.00022050000000001235,0.0007432500000000286,1,3,-0.00017450000000000278,1,3,1,sisa_single_seed20262028
HiFormer,KuaiRand_Video_Action,6,-0.0013520000000000014,-0.0014464999999999617,0.0018576666666666648,2,4,0.00127350000000001,3,3,2,sisa_single_seed20262028
HiFormer,TencentGR_10M_Action,2,-0.0009480000000000044,-0.0009480000000000044,0.0009480000000000044,0,2,0.0021495000000000004,0,2,0,sisa_single_seed20262028
HiFormer,MerRec_Action,5,-0.005319199999999991,-0.00380999999999998,0.007552399999999992,2,3,0.0018472000000000065,0,5,0,sisa_single_seed20262028
HyFormer,QK_Video_Action,4,-0.00014800000000000924,-0.0002135000000000331,0.000946499999999989,2,2,-2.1500000000005022e-05,1,3,1,sisa_single_seed20262028
HyFormer,KuaiRand_Video_Action,6,-0.0003166666666666688,0.0014319999999999888,0.0039276666666667,4,2,-0.0024789999999999916,4,2,3,sisa_single_seed20262028
HyFormer,TencentGR_10M_Action,2,-0.007010000000000016,-0.007010000000000016,0.007010000000000016,0,2,0.003375999999999999,0,2,0,sisa_single_seed20262028
HyFormer,MerRec_Action,5,0.005710399999999982,0.0009230000000000071,0.00662799999999999,4,1,-0.0006770000000000059,3,2,3,sisa_single_seed20262028
RankMixer,QK_Video_Action,4,3.975000000000506e-05,0.0004704999999999848,0.0012847500000000012,3,1,-9.275000000000082e-05,3,1,2,sisa_single_seed20262028
RankMixer,KuaiRand_Video_Action,6,0.002524333333333332,0.001701499999999967,0.002524333333333332,6,0,-0.0008856666666666678,5,1,5,sisa_single_seed20262028
RankMixer,TencentGR_10M_Action,2,0.0027400000000000757,0.0027400000000000757,0.0027400000000000757,2,0,-0.0003984999999999961,1,1,1,sisa_single_seed20262028
RankMixer,MerRec_Action,5,-0.005263200000000023,-0.003927000000000014,0.007928400000000013,2,3,-0.00046619999999999995,2,3,2,sisa_single_seed20262028
Zenith,QK_Video_Action,4,-0.0001917500000000183,-0.00039000000000000146,0.000978249999999986,2,2,-1.5000000000002858e-05,2,2,2,sisa_single_seed20262028
Zenith,KuaiRand_Video_Action,6,0.0007646666666666543,-7.650000000003487e-05,0.0025866666666666815,3,3,0.0011505000000000063,1,5,1,sisa_single_seed20262028
Zenith,TencentGR_10M_Action,2,-0.009035499999999974,-0.009035499999999974,0.009035499999999974,0,2,0.004436499999999998,0,2,0,sisa_single_seed20262028
Zenith,MerRec_Action,5,-0.00617460000000003,-0.004126999999999992,0.00617460000000003,0,5,0.0007039999999999992,1,4,0,sisa_single_seed20262028
