model,dataset,labels,legacy_source,paper_mean_auc,baseline_mean_auc,sisa_three_seed_mean_auc,sisa_seed_std_auc,sisa_seed_range_auc,sisa_delta_auc_vs_baseline,sisa_delta_auc_vs_paper,auc_labels_mean_better_baseline,auc_labels_mean_better_paper,auc_labels_all_seeds_better_baseline,paper_mean_logloss,baseline_mean_logloss,sisa_three_seed_mean_logloss,sisa_seed_std_logloss,sisa_seed_range_logloss,sisa_delta_logloss_vs_baseline,sisa_delta_logloss_vs_paper,logloss_labels_mean_better_baseline,logloss_labels_mean_better_paper,logloss_labels_all_seeds_better_baseline,sisa_20262027_mean_auc,sisa_20262027_mean_logloss,sisa_20262028_mean_auc,sisa_20262028_mean_logloss,sisa_20262029_mean_auc,sisa_20262029_mean_logloss
HiFormer,QK_Video_Action,4,sisa_native_strict,0.932675,0.93316325,0.9308549166666666,0.00022842755051290174,0.0004524999999999668,-0.0023083333333333567,-0.0018200833333333888,0,0,0,0.07535,0.0753855,0.07562408333333333,0.00024781764128756954,0.0004890000000000033,0.0002385833333333337,0.00027408333333332757,0,0,0,0.931063,0.07535625,0.93089125,0.07584525,0.9306105,0.07567075000000001
HiFormer,KuaiRand_Video_Action,6,sisa_native_strict,0.8602,0.8584816666666666,0.8633852777777777,0.0012538977489471288,0.0025051666666665584,0.00490361111111115,0.003185277777777773,3,2,3,0.17951666666666666,0.1805495,0.17659705555555558,0.0009354362371127711,0.0018236666666666679,-0.003952444444444425,-0.002919611111111081,3,4,2,0.8621658333333334,0.17738833333333334,0.864671,0.17556466666666667,0.8633190000000001,0.17683816666666666
HiFormer,TencentGR_10M_Action,2,sisa_expansion_acd,0.852,0.855235,0.869188,0.002125070351776676,0.004062000000000121,0.013952999999999993,0.01718799999999998,2,2,2,0.0266,0.0321885,0.030230999999999997,0.002246183930580932,0.004491000000000002,-0.0019575000000000044,0.003630999999999999,2,1,0,0.8667959999999999,0.0279535,0.870858,0.030295,0.86991,0.0324445
HiFormer,MerRec_Action,5,sisa_native_strict,0.80214,0.8010968,0.8051746666666667,0.00364865972835681,0.006985999999999826,0.004077866666666652,0.003034666666666741,4,3,2,0.08506,0.08523339999999999,0.08343806666666666,0.0009241221636414416,0.0018472000000000072,-0.0017953333333333293,-0.0016219333333333391,5,5,3,0.8022904000000001,0.08340220000000001,0.8092763999999999,0.08253239999999999,0.8039571999999999,0.0843796
HyFormer,QK_Video_Action,4,sisa_expansion_acd,0.9302250000000001,0.9302425,0.9312378333333333,7.4297263296407e-05,0.000148000000000037,0.000995333333333348,0.0010128333333332407,4,4,3,0.075125,0.07509475,0.07457616666666667,0.0002091329322066075,0.00037249999999999783,-0.0005185833333333362,-0.0005488333333333317,1,2,1,0.9312455,0.074335,0.931308,0.0747075,0.93116,0.074686
HyFormer,KuaiRand_Video_Action,6,sisa_expansion_acd,0.856,0.8571901666666667,0.8624739444444444,0.0012080379562347011,0.0022326666666666606,0.005283777777777665,0.0064739444444443794,6,6,3,0.1799666666666667,0.1797498333333333,0.17563894444444447,0.0013521036524752944,0.002479000000000009,-0.004110888888888831,-0.004327722222222219,5,6,3,0.8638568333333333,0.1750151666666667,0.8619408333333333,0.17719033333333334,0.8616241666666666,0.17471133333333333
HyFormer,TencentGR_10M_Action,2,sisa_expansion_acd,0.8512500000000001,0.851237,0.868116,0.006015358987624957,0.011972500000000053,0.016878999999999977,0.016865999999999937,2,2,2,0.0356,0.0349765,0.033918,0.0017546226802364077,0.003375999999999997,-0.0010585000000000039,-0.001682000000000003,2,2,0,0.862471,0.033365,0.8744435,0.0325065,0.8674335,0.0358825
HyFormer,MerRec_Action,5,sisa_expansion_acd,0.7947200000000001,0.7937372,0.8045286666666667,0.0031744748311072035,0.005710399999999893,0.010791466666666638,0.009808666666666577,5,5,4,0.08382,0.0838562,0.08197173333333334,0.0007207336909936524,0.0014406000000000002,-0.0018844666666666676,-0.0018482666666666675,5,5,2,0.8061308,0.081237,0.8008724,0.0826776,0.8065827999999999,0.0820006
RankMixer,QK_Video_Action,4,sisa_native_strict,0.929,0.92890725,0.9294695833333333,0.0005796396689611164,0.001023250000000031,0.0005623333333333314,0.00046958333333324553,3,3,1,0.07569999999999999,0.07570500000000001,0.07545575,0.0004477615855564237,0.000817750000000006,-0.0002492500000000064,-0.00024424999999998753,1,1,1,0.9301385,0.0749415,0.92911525,0.07575925,0.929155,0.0756665
RankMixer,KuaiRand_Video_Action,6,sisa_native_strict,0.8522666666666666,0.852376,0.8621668333333333,0.0016314701277614105,0.0030526666666667035,0.009790833333333304,0.00990016666666671,6,6,6,0.17956666666666665,0.17961016666666665,0.17434016666666666,0.0005767449128032774,0.0010828333333333662,-0.005269999999999997,-0.005226499999999995,6,6,6,0.8609731666666667,0.17476683333333334,0.8615015,0.17456966666666665,0.8640258333333334,0.17368399999999998
RankMixer,TencentGR_10M_Action,2,sisa_expansion_acd,0.8375999999999999,0.844863,0.8511828333333332,0.0036790440787429404,0.007284000000000068,0.006319833333333191,0.013582833333333322,2,2,2,0.0314,0.042245000000000005,0.044632666666666675,0.003582374643073133,0.006394500000000004,0.00238766666666667,0.013232666666666677,0,0,0,0.8551255,0.0405025,0.8478414999999999,0.046897,0.8505815000000001,0.046498500000000005
RankMixer,MerRec_Action,5,sisa_native_strict,0.78904,0.7886293999999999,0.7984531333333332,0.003309508104436937,0.006107600000000102,0.009823733333333307,0.009413133333333268,5,5,3,0.08298,0.08299179999999999,0.08078606666666667,0.0002337130148993208,0.00046619999999998607,-0.0022057333333333207,-0.0021939333333333283,3,3,2,0.7961358,0.0808056,0.8022434,0.0810094,0.7969801999999999,0.08054320000000001
Zenith,QK_Video_Action,4,sisa_native_strict,0.93485,0.93491875,0.9353014166666668,0.0003208705281470198,0.0006262500000000504,0.0003826666666667533,0.0004514166666668151,4,3,1,0.07492499999999999,0.07493549999999999,0.07434400000000001,6.323319934970746e-05,0.0001162499999999983,-0.0005914999999999809,-0.0005809999999999843,3,4,3,0.935655,0.0742715,0.9352205,0.07438775,0.93502875,0.07437275
Zenith,KuaiRand_Video_Action,6,sisa_native_strict,0.8605499999999999,0.8596625000000001,0.8631643888888889,0.002824509457574199,0.005229499999999998,0.0035018888888888045,0.0026143888888889855,4,4,3,0.1796,0.18007216666666667,0.1784111111111111,0.0026491150846049524,0.005054166666666665,-0.0016610555555555684,-0.001188888888888906,5,3,2,0.8663958333333334,0.17542516666666666,0.8611663333333334,0.17932883333333335,0.8619309999999999,0.18047933333333332
Zenith,TencentGR_10M_Action,2,sisa_expansion_acd,0.8431500000000001,0.8394885,0.8558408333333333,0.007411164623953072,0.014693500000000026,0.016352333333333302,0.012690833333333207,2,2,2,0.03905,0.039786,0.039081,0.0029534001168145143,0.005595499999999996,-0.0007050000000000042,3.099999999999631e-05,1,1,0,0.849057,0.0368295,0.8637505,0.0379885,0.854715,0.042425
Zenith,MerRec_Action,5,sisa_native_strict,0.80318,0.8060438,0.8073732666666666,0.0034801505848646086,0.006174600000000141,0.0013294666666666677,0.00419326666666664,2,2,2,0.08571999999999999,0.0845422,0.08367419999999999,0.0005373398179922904,0.0010551999999999784,-0.0008680000000000077,-0.0020458000000000004,2,4,2,0.8092279999999998,0.08320540000000001,0.8095332000000001,0.08355660000000001,0.8033585999999999,0.08426059999999999
