model,dataset,label,legacy_source,paper_auc,baseline_auc,baseline_delta_auc_vs_paper,sisa_mean_auc,sisa_std_auc,sisa_min_auc,sisa_max_auc,sisa_range_auc,sisa_mean_delta_auc_vs_baseline,sisa_mean_delta_auc_vs_paper,auc_mean_beats_baseline,auc_mean_beats_paper,auc_all_seeds_beat_baseline,auc_all_seeds_beat_paper,paper_logloss,baseline_logloss,baseline_delta_logloss_vs_paper,sisa_mean_logloss,sisa_std_logloss,sisa_min_logloss,sisa_max_logloss,sisa_range_logloss,sisa_mean_delta_logloss_vs_baseline,sisa_mean_delta_logloss_vs_paper,logloss_mean_beats_baseline,logloss_mean_beats_paper,logloss_all_seeds_beat_baseline,logloss_all_seeds_beat_paper,sisa_20262027_auc,sisa_20262027_logloss,sisa_20262028_auc,sisa_20262028_logloss,sisa_20262029_auc,sisa_20262029_logloss
HiFormer,KuaiRand_Video_Action,is_click,sisa_native_strict,0.7782,0.777662,-0.0005380000000000384,0.7964246666666667,0.0007053384530374967,0.795981,0.797238,0.0012569999999999526,0.018762666666666705,0.018224666666666667,True,True,True,True,0.54,0.541932,0.0019319999999999338,0.5230676666666666,0.0014362069256667876,0.521549,0.524404,0.002854999999999941,-0.018864333333333372,-0.016932333333333438,True,True,True,True,0.797238,0.521549,0.795981,0.524404,0.796055,0.52325
HiFormer,KuaiRand_Video_Action,is_comment,sisa_native_strict,0.8993,0.898789,-0.0005110000000000392,0.8968626666666667,0.0017255046604785754,0.895209,0.898652,0.003442999999999974,-0.0019263333333332522,-0.0024373333333332914,False,False,False,False,0.0147,0.014709,9.000000000000327e-06,0.014747666666666668,5.346338310781766e-05,0.014701,0.014806,0.00010499999999999919,3.866666666666775e-05,4.766666666666808e-05,False,False,False,False,0.895209,0.014806,0.898652,0.014701,0.896727,0.014736
HiFormer,KuaiRand_Video_Action,is_follow,sisa_native_strict,0.8872,0.879913,-0.0072870000000000434,0.8846663333333332,0.002588372525996458,0.881796,0.886823,0.005027000000000004,0.004753333333333276,-0.0025336666666667673,True,False,True,False,0.0063,0.006364,6.399999999999982e-05,0.0062053333333333335,4.2158431343366426e-05,0.00618,0.006254,7.400000000000028e-05,-0.00015866666666666633,-9.466666666666651e-05,True,True,True,True,0.881796,0.00618,0.88538,0.006254,0.886823,0.006182
HiFormer,KuaiRand_Video_Action,is_forward,sisa_native_strict,0.871,0.87092,-7.999999999996898e-05,0.8687826666666666,0.0007538277875836769,0.867965,0.86945,0.0014849999999999586,-0.0021373333333334354,-0.0022173333333334044,False,False,False,False,0.0057,0.005684,-1.600000000000039e-05,0.005684333333333333,1.8717193521822133e-05,0.005663,0.005698,3.500000000000031e-05,3.3333333333308846e-07,-1.56666666666673e-05,False,True,False,True,0.86945,0.005692,0.868933,0.005698,0.867965,0.005663
HiFormer,KuaiRand_Video_Action,is_like,sisa_native_strict,0.9294,0.928496,-0.0009040000000000159,0.927202,0.0018671430046999652,0.925869,0.929336,0.003466999999999998,-0.0012940000000000174,-0.0021980000000000333,False,False,False,False,0.0535,0.053637,0.00013699999999999823,0.054072,0.0004673745821073287,0.053535,0.054387,0.0008519999999999986,0.00043500000000000483,0.0005720000000000031,False,False,False,False,0.925869,0.054294,0.929336,0.053535,0.926401,0.054387
HiFormer,KuaiRand_Video_Action,long_view,sisa_native_strict,0.7961,0.79511,-0.0009900000000000464,0.8063733333333333,0.003177431404976912,0.803433,0.809744,0.0063110000000000666,0.011263333333333292,0.010273333333333245,True,True,True,True,0.4569,0.460971,0.004071000000000047,0.45580533333333334,0.0065645309301833365,0.448796,0.461809,0.013013000000000052,-0.0051656666666666795,-0.0010946666666666327,True,True,False,False,0.803433,0.461809,0.809744,0.448796,0.805943,0.456811
HiFormer,MerRec_Action,Cart,sisa_native_strict,0.8123,0.810019,-0.0022809999999999775,0.8174040000000001,0.0034065350431192985,0.813548,0.820005,0.006456999999999935,0.007385000000000086,0.0051040000000001085,True,True,True,True,0.053,0.053089,8.89999999999988e-05,0.051970333333333334,0.00020258413889871375,0.051844,0.052204,0.0003599999999999992,-0.0011186666666666636,-0.0010296666666666648,True,True,True,True,0.813548,0.052204,0.818659,0.051844,0.820005,0.051863
HiFormer,MerRec_Action,Checkout,sisa_native_strict,0.8354,0.834515,-0.0008850000000000247,0.8377873333333333,0.008071811031815175,0.829334,0.845414,0.016079999999999983,0.0032723333333333215,0.002387333333333297,True,True,False,False,0.0127,0.012448,-0.00025199999999999875,0.011871,0.002386645344411272,0.009625,0.014377,0.004751999999999999,-0.0005770000000000011,-0.0008289999999999999,True,True,False,False,0.838614,0.011611,0.845414,0.009625,0.829334,0.014377
HiFormer,MerRec_Action,Like,sisa_native_strict,0.7518,0.74961,-0.0021900000000000253,0.7640059999999999,0.0019347092804863379,0.761906,0.765716,0.00380999999999998,0.014395999999999853,0.012205999999999828,True,True,True,True,0.3277,0.328501,0.0008009999999999962,0.3230903333333333,0.0012957354411041397,0.3216,0.32395,0.0023500000000000187,-0.005410666666666675,-0.004609666666666679,True,True,True,True,0.764396,0.3216,0.765716,0.323721,0.761906,0.32395
HiFormer,MerRec_Action,Offer,sisa_native_strict,0.7704,0.775777,0.005377000000000076,0.7684730000000001,0.006135547489833375,0.761824,0.773916,0.012092000000000103,-0.007303999999999977,-0.001926999999999901,False,False,False,False,0.0242,0.023378,-0.0008219999999999998,0.02264933333333333,0.0010724133220607313,0.021428,0.023437,0.0020090000000000004,-0.0007286666666666691,-0.001550666666666669,True,True,False,True,0.761824,0.023437,0.769679,0.021428,0.773916,0.023083
