model,dataset,label,AUC,logloss,paper_dataset,paper_task
HiFormer,QK_Video_Action,click,0.9323,0.2539,QK-Video,Click
HiFormer,QK_Video_Action,follow,0.9185,0.0050,QK-Video,Follow
HiFormer,QK_Video_Action,like,0.9465,0.0372,QK-Video,Like
HiFormer,QK_Video_Action,share,0.9334,0.0053,QK-Video,Share
HiFormer,KuaiRand_Video_Action,is_click,0.7782,0.5400,KuaiRand,Click
HiFormer,KuaiRand_Video_Action,is_follow,0.8872,0.0063,KuaiRand,Follow
HiFormer,KuaiRand_Video_Action,is_like,0.9294,0.0535,KuaiRand,Like
HiFormer,KuaiRand_Video_Action,is_comment,0.8993,0.0147,KuaiRand,Comment
HiFormer,KuaiRand_Video_Action,is_forward,0.8710,0.0057,KuaiRand,Forward
HiFormer,KuaiRand_Video_Action,long_view,0.7961,0.4569,KuaiRand,Long View
HiFormer,TencentGR_10M_Action,is_click,0.8310,0.0355,TAAC-25,Click
HiFormer,TencentGR_10M_Action,is_conversion,0.8730,0.0177,TAAC-25,Conversion
HiFormer,MerRec_Action,Like,0.7518,0.3277,MerRec,Like
HiFormer,MerRec_Action,Cart,0.8123,0.0530,MerRec,Cart
HiFormer,MerRec_Action,Offer,0.7704,0.0242,MerRec,Offer
HiFormer,MerRec_Action,Checkout,0.8354,0.0127,MerRec,Checkout
HiFormer,MerRec_Action,Purchase,0.8408,0.0077,MerRec,Purchase
HyFormer,QK_Video_Action,click,0.9330,0.2529,QK-Video,Click
HyFormer,QK_Video_Action,follow,0.9110,0.0052,QK-Video,Follow
HyFormer,QK_Video_Action,like,0.9464,0.0370,QK-Video,Like
HyFormer,QK_Video_Action,share,0.9305,0.0054,QK-Video,Share
HyFormer,KuaiRand_Video_Action,is_click,0.7817,0.5412,KuaiRand,Click
HyFormer,KuaiRand_Video_Action,is_follow,0.8800,0.0066,KuaiRand,Follow
HyFormer,KuaiRand_Video_Action,is_like,0.9215,0.0559,KuaiRand,Like
HyFormer,KuaiRand_Video_Action,is_comment,0.8853,0.0151,KuaiRand,Comment
HyFormer,KuaiRand_Video_Action,is_forward,0.8691,0.0058,KuaiRand,Forward
HyFormer,KuaiRand_Video_Action,long_view,0.7984,0.4552,KuaiRand,Long View
HyFormer,TencentGR_10M_Action,is_click,0.8267,0.0527,TAAC-25,Click
HyFormer,TencentGR_10M_Action,is_conversion,0.8758,0.0185,TAAC-25,Conversion
HyFormer,MerRec_Action,Like,0.7361,0.3341,MerRec,Like
HyFormer,MerRec_Action,Cart,0.7986,0.0538,MerRec,Cart
HyFormer,MerRec_Action,Offer,0.7400,0.0219,MerRec,Offer
HyFormer,MerRec_Action,Checkout,0.8514,0.0056,MerRec,Checkout
HyFormer,MerRec_Action,Purchase,0.8475,0.0037,MerRec,Purchase
RankMixer,QK_Video_Action,click,0.9318,0.2547,QK-Video,Click
RankMixer,QK_Video_Action,follow,0.9108,0.0052,QK-Video,Follow
RankMixer,QK_Video_Action,like,0.9444,0.0375,QK-Video,Like
RankMixer,QK_Video_Action,share,0.9290,0.0054,QK-Video,Share
RankMixer,KuaiRand_Video_Action,is_click,0.7810,0.5408,KuaiRand,Click
RankMixer,KuaiRand_Video_Action,is_follow,0.8739,0.0064,KuaiRand,Follow
RankMixer,KuaiRand_Video_Action,is_like,0.9241,0.0553,KuaiRand,Like
RankMixer,KuaiRand_Video_Action,is_comment,0.8845,0.0152,KuaiRand,Comment
RankMixer,KuaiRand_Video_Action,is_forward,0.8499,0.0058,KuaiRand,Forward
RankMixer,KuaiRand_Video_Action,long_view,0.8002,0.4539,KuaiRand,Long View
RankMixer,TencentGR_10M_Action,is_click,0.8069,0.0412,TAAC-25,Click
RankMixer,TencentGR_10M_Action,is_conversion,0.8683,0.0216,TAAC-25,Conversion
RankMixer,MerRec_Action,Like,0.7448,0.3319,MerRec,Like
RankMixer,MerRec_Action,Cart,0.7930,0.0539,MerRec,Cart
RankMixer,MerRec_Action,Offer,0.7288,0.0214,MerRec,Offer
RankMixer,MerRec_Action,Checkout,0.8379,0.0047,MerRec,Checkout
RankMixer,MerRec_Action,Purchase,0.8407,0.0030,MerRec,Purchase
Zenith,QK_Video_Action,click,0.9334,0.2521,QK-Video,Click
Zenith,QK_Video_Action,follow,0.9222,0.0050,QK-Video,Follow
Zenith,QK_Video_Action,like,0.9480,0.0373,QK-Video,Like
Zenith,QK_Video_Action,share,0.9358,0.0053,QK-Video,Share
Zenith,KuaiRand_Video_Action,is_click,0.7816,0.5389,KuaiRand,Click
Zenith,KuaiRand_Video_Action,is_follow,0.8844,0.0065,KuaiRand,Follow
Zenith,KuaiRand_Video_Action,is_like,0.9294,0.0537,KuaiRand,Like
Zenith,KuaiRand_Video_Action,is_comment,0.8994,0.0147,KuaiRand,Comment
Zenith,KuaiRand_Video_Action,is_forward,0.8704,0.0056,KuaiRand,Forward
Zenith,KuaiRand_Video_Action,long_view,0.7981,0.4582,KuaiRand,Long View
Zenith,TencentGR_10M_Action,is_click,0.8236,0.0583,TAAC-25,Click
Zenith,TencentGR_10M_Action,is_conversion,0.8627,0.0198,TAAC-25,Conversion
Zenith,MerRec_Action,Like,0.7430,0.3306,MerRec,Like
Zenith,MerRec_Action,Cart,0.8019,0.0546,MerRec,Cart
Zenith,MerRec_Action,Offer,0.7712,0.0221,MerRec,Offer
Zenith,MerRec_Action,Checkout,0.8503,0.0127,MerRec,Checkout
Zenith,MerRec_Action,Purchase,0.8495,0.0086,MerRec,Purchase
